"eta (1/ms)","Points:0","Points:1","Points:2"
0.00099443,2681.2,37.5,0
0.00099443,2700,37.5,0
0.00099443,2718.8,37.5,0
0.00099443,2737.5,37.5,0
0.00099443,2756.2,37.5,0
0.00099443,2775,37.5,0
0.00099443,2793.8,37.5,0
0.00099443,2812.5,37.5,0
0.00099443,2831.2,37.5,0
0.00099443,2850,37.5,0
0.00099443,2868.8,37.5,0
0.00099443,2887.5,37.5,0
0.00099443,2906.2,37.5,0
0.00099443,2925,37.5,0
0.00099443,2943.8,37.5,0
0.00099443,2962.5,37.5,0
0.00099443,2981.2,37.5,0
0.00099443,3000,37.5,0
0.00099443,3018.8,37.5,0
0.00099443,3037.5,37.5,0
0.00099443,3056.2,37.5,0
0.00099443,3075,37.5,0
0.00099443,3093.8,37.5,0
0.00099443,3112.5,37.5,0
0.00099443,3131.2,37.5,0
0.00099443,3150,37.5,0
0.00099443,3168.8,37.5,0
0.00099443,3187.5,37.5,0
0.00099443,3206.2,37.5,0
0.00099443,3225,37.5,0
0.00099443,3243.8,37.5,0
0.00099443,3262.5,37.5,0
0.00099443,3281.2,37.5,0
0.00099443,3300,37.5,0
0.00099443,3318.8,37.5,0
0.00099443,3337.5,37.5,0
0.00099443,3356.2,37.5,0
0.00099443,3375,37.5,0
0.00099443,3393.8,37.5,0
0.00099443,3412.5,37.5,0
0.00099443,3431.2,37.5,0
0.00099443,3450,37.5,0
0.00099443,3468.8,37.5,0
0.00099443,3487.5,37.5,0
0.00099443,3506.2,37.5,0
0.00099443,3525,37.5,0
0.00099443,3543.8,37.5,0
0.00099443,3562.5,37.5,0
0.00099443,3581.2,37.5,0
0.00099443,3600,37.5,0
0.00099443,3618.8,37.5,0
0.00099443,3637.5,37.5,0
0.00099443,3656.2,37.5,0
0.00099443,3675,37.5,0
0.00099443,3693.8,37.5,0
0.00099443,3712.5,37.5,0
0.00099443,3731.2,37.5,0
0.00099443,3750,37.5,0
0.00099443,3768.8,37.5,0
0.00099443,3787.5,37.5,0
0.00099443,3806.2,37.5,0
0.00099443,3825,37.5,0
0.00099443,3843.8,37.5,0
0.00099443,3862.5,37.5,0
0.00099443,3881.2,37.5,0
0.00099443,3900,37.5,0
0.00099443,3918.8,37.5,0
0.00099443,3937.5,37.5,0
0.00099443,3956.2,37.5,0
0.00099443,3975,37.5,0
0.00099443,3993.8,37.5,0
0.00099443,4012.5,37.5,0
0.00099443,4031.2,37.5,0
0.00099443,4050,37.5,0
0.00099443,4068.8,37.5,0
0.00099443,4087.5,37.5,0
0.00099443,4106.2,37.5,0
0.00099443,4125,37.5,0
0.00099443,4143.8,37.5,0
0.00099443,4162.5,37.5,0
0.00099443,4181.2,37.5,0
0.00099443,4200,37.5,0
0.00099443,4218.8,37.5,0
0.00099443,4237.5,37.5,0
0.00099443,4256.2,37.5,0
0.00099443,4275,37.5,0
0.00099443,4293.8,37.5,0
0.00099443,4312.5,37.5,0
0.00099443,4331.2,37.5,0
0.00099443,4350,37.5,0
0.00099443,4368.8,37.5,0
0.00099443,4387.5,37.5,0
0.00099443,4406.2,37.5,0
0.00099443,4425,37.5,0
0.00099443,4443.8,37.5,0
0.00099443,4462.5,37.5,0
0.00099443,4481.2,37.5,0
0.00099443,4500,37.5,0
0.00099443,4518.8,37.5,0
0.00099443,4537.5,37.5,0
0.00099443,4556.2,37.5,0
0.00099443,4575,37.5,0
0.00099443,4593.8,37.5,0
0.00099443,4612.5,37.5,0
0.00099443,4631.2,37.5,0
0.00099443,4650,37.5,0
0.00099443,4668.8,37.5,0
0.00099443,4687.5,37.5,0
0.00099443,4706.2,37.5,0
0.00099443,4725,37.5,0
0.00099443,4743.8,37.5,0
0.00099443,4762.5,37.5,0
0.00099443,4781.2,37.5,0
0.00099443,4800,37.5,0
0.00099443,4818.8,37.5,0
0.00099443,4837.5,37.5,0
0.00099443,4856.2,37.5,0
0.00099443,4875,37.5,0
0.00099443,4893.8,37.5,0
0.00099443,4912.5,37.5,0
