"cosHig","Points:0","Points:1","Points:2"
0.9013,3468.8,0,0
0.89857,3487.5,0,0
0.89581,3506.2,0,0
0.89304,3525,0,0
0.89025,3543.8,0,0
0.88744,3562.5,0,0
0.88462,3581.2,0,0
0.88178,3600,0,0
0.87894,3618.8,0,0
0.87607,3637.5,0,0
0.8732,3656.2,0,0
0.87031,3675,0,0
0.86741,3693.8,0,0
0.86451,3712.5,0,0
0.86159,3731.2,0,0
0.85867,3750,0,0
0.85573,3768.8,0,0
0.85279,3787.5,0,0
0.84984,3806.2,0,0
0.84689,3825,0,0
0.84393,3843.8,0,0
0.84097,3862.5,0,0
0.838,3881.2,0,0
0.83503,3900,0,0
0.83205,3918.8,0,0
0.82907,3937.5,0,0
0.82609,3956.2,0,0
0.82311,3975,0,0
0.82013,3993.8,0,0
0.81714,4012.5,0,0
0.81416,4031.2,0,0
0.81118,4050,0,0
0.80819,4068.8,0,0
0.80521,4087.5,0,0
0.80223,4106.2,0,0
0.79926,4125,0,0
0.79628,4143.8,0,0
0.79331,4162.5,0,0
0.79034,4181.2,0,0
0.78738,4200,0,0
0.78442,4218.8,0,0
0.78146,4237.5,0,0
0.77851,4256.2,0,0
0.77556,4275,0,0
0.77262,4293.8,0,0
0.76969,4312.5,0,0
0.76676,4331.2,0,0
0.76384,4350,0,0
0.76092,4368.8,0,0
0.75801,4387.5,0,0
0.75511,4406.2,0,0
0.75222,4425,0,0
0.74933,4443.8,0,0
0.74645,4462.5,0,0
0.74358,4481.2,0,0
0.74072,4500,0,0
0.73787,4518.8,0,0
0.73502,4537.5,0,0
0.73219,4556.2,0,0
0.72936,4575,0,0
0.72654,4593.8,0,0
0.72374,4612.5,0,0
0.72094,4631.2,0,0
0.71815,4650,0,0
0.71538,4668.8,0,0
0.71261,4687.5,0,0
0.70985,4706.2,0,0
0.70711,4725,0,0
0.70437,4743.8,0,0
0.70165,4762.5,0,0
0.69893,4781.2,0,0
0.69623,4800,0,0
0.69354,4818.8,0,0
0.69086,4837.5,0,0
0.68819,4856.2,0,0
0.68553,4875,0,0
0.68288,4893.8,0,0
0.68025,4912.5,0,0
0.67763,4931.2,0,0
0.67501,4950,0,0
0.67241,4968.8,0,0
0.66982,4987.5,0,0
0.66725,5006.2,0,0
0.66468,5025,0,0
0.66213,5043.8,0,0
0.65959,5062.5,0,0
0.65706,5081.2,0,0
0.65454,5100,0,0
0.65204,5118.8,0,0
0.64955,5137.5,0,0
0.64707,5156.2,0,0
0.6446,5175,0,0
0.64214,5193.8,0,0
0.6397,5212.5,0,0
0.63726,5231.2,0,0
0.63484,5250,0,0
0.63244,5268.8,0,0
0.63004,5287.5,0,0
0.62766,5306.2,0,0
0.62529,5325,0,0
0.62293,5343.8,0,0
0.62058,5362.5,0,0
0.61824,5381.2,0,0
0.61592,5400,0,0
0.61361,5418.8,0,0
0.61131,5437.5,0,0
0.60903,5456.2,0,0
0.60675,5475,0,0
0.60449,5493.8,0,0
0.60224,5512.5,0,0
0.6,5531.2,0,0
0.59777,5550,0,0
0.59556,5568.8,0,0
0.59336,5587.5,0,0
0.59116,5606.2,0,0
0.58899,5625,0,0
0.58682,5643.8,0,0
0.58466,5662.5,0,0
0.58252,5681.2,0,0
0.58039,5700,0,0
0.57827,5718.8,0,0
0.57616,5737.5,0,0
0.57406,5756.2,0,0
0.57197,5775,0,0
0.5699,5793.8,0,0
0.56784,5812.5,0,0
0.56578,5831.2,0,0
0.56374,5850,0,0
0.56171,5868.8,0,0
0.5597,5887.5,0,0
0.55769,5906.2,0,0
0.55569,5925,0,0
0.55371,5943.8,0,0
0.55174,5962.5,0,0
0.54977,5981.2,0,0
0.54782,6000,0,0
0.54588,6018.8,0,0
0.54395,6037.5,0,0
0.69288,0,18.75,0
0,18.75,18.75,0
0,37.5,18.75,0
0,56.25,18.75,0
0,75,18.75,0
0,93.75,18.75,0
0,112.5,18.75,0
0,131.25,18.75,0
0,150,18.75,0
0,168.75,18.75,0
0,187.5,18.75,0
0,206.25,18.75,0
0,225,18.75,0
