Z,	X 
-0.1,	9.633266533066132 
-0.1,	9.649298597194388 
-0.1,	9.665330661322646 
-0.1,	9.681362725450903 
-0.1,	9.697394789579159 
-0.1,	9.713426853707414 
-0.1,	9.729458917835672 
-0.1,	9.745490981963929 
-0.1,	9.761523046092185 
-0.1,	9.77755511022044 
-0.1,	9.793587174348698 
-0.1,	9.809619238476955 
-0.1,	9.82565130260521 
-0.1,	9.841683366733466 
-0.1,	9.857715430861724 
-0.1,	9.873747494989981 
-0.1,	9.889779559118235 
-0.1,	9.905811623246493 
-0.1,	9.92184368737475 
-0.1,	9.937875751503006 
-0.1,	9.953907815631261 
-0.1,	9.969939879759519 
-0.1,	9.985971943887776 
-0.1,	10.002004008016032 
-0.1,	10.018036072144287 
-0.1,	10.034068136272545 
-0.1,	10.050100200400802 
-0.1,	10.066132264529058 
-0.1,	10.082164328657313 
-0.1,	10.098196392785571 
-0.1,	10.114228456913828 
-0.1,	10.130260521042084 
-0.1,	10.14629258517034 
-0.1,	10.162324649298597 
-0.1,	10.178356713426854 
-0.1,	10.19438877755511 
-0.1,	10.210420841683366 
-0.1,	10.226452905811623 
-0.1,	10.24248496993988 
-0.1,	10.258517034068136 
-0.1,	10.274549098196392 
-0.1,	10.29058116232465 
-0.1,	10.306613226452907 
-0.1,	10.322645290581162 
-0.1,	10.338677354709418 
-0.1,	10.354709418837675 
-0.1,	10.370741482965933 
-0.1,	10.386773547094188 
-0.1,	10.402805611222444 
-0.1,	10.418837675350701 
-0.1,	10.434869739478959 
-0.1,	10.450901803607215 
-0.1,	10.46693386773547 
-0.1,	10.482965931863728 
-0.1,	10.498997995991985 
-0.1,	10.51503006012024 
-0.1,	10.531062124248496 
-0.1,	10.547094188376754 
-0.1,	10.563126252505011 
-0.1,	10.579158316633267 
-0.1,	10.595190380761522 
-0.1,	10.61122244488978 
-0.1,	10.627254509018037 
-0.1,	10.643286573146293 
-0.1,	10.659318637274549 
-0.1,	10.675350701402806 
-0.1,	10.691382765531063 
-0.1,	10.707414829659319 
-0.1,	10.723446893787575 
-0.1,	10.739478957915832 
-0.1,	10.75551102204409 
-0.1,	10.771543086172345 
-0.1,	10.7875751503006 
-0.1,	10.803607214428858 
-0.1,	10.819639278557114 
-0.1,	10.83567134268537 
-0.1,	10.851703406813627 
-0.1,	10.867735470941884 
-0.1,	10.88376753507014 
-0.1,	10.899799599198396 
-0.1,	10.915831663326653 
-0.1,	10.93186372745491 
-0.1,	10.947895791583166 
-0.1,	10.963927855711422 
-0.1,	10.97995991983968 
-0.1,	10.995991983967937 
-0.1,	11.012024048096192 
-0.1,	11.028056112224448 
-0.1,	11.044088176352705 
-0.1,	11.060120240480963 
-0.1,	11.076152304609218 
-0.1,	11.092184368737474 
-0.1,	11.108216432865731 
-0.1,	11.124248496993989 
-0.1,	11.140280561122244 
-0.1,	11.1563126252505 
-0.1,	11.172344689378757 
-0.1,	11.188376753507015 
-0.1,	11.20440881763527 
-0.1,	11.220440881763526 
-0.1,	11.236472945891784 
-0.1,	11.252505010020041 
-0.1,	11.268537074148297 
-0.1,	11.284569138276552 
-0.1,	11.30060120240481 
-0.1,	11.316633266533067 
-0.1,	11.332665330661323 
-0.1,	11.348697394789578 
-0.1,	11.364729458917836 
-0.1,	11.380761523046093 
-0.1,	11.396793587174349 
-0.1,	11.412825651302605 
-0.1,	11.428857715430862 
-0.1,	11.44488977955912 
-0.1,	11.460921843687375 
-0.1,	11.47695390781563 
-0.1,	11.492985971943888 
-0.1,	11.509018036072145 
-0.1,	11.525050100200401 
-0.1,	11.541082164328657 
-0.1,	11.557114228456914 
-0.1,	11.573146292585172 
-0.1,	11.589178356713427 
-0.1,	11.605210420841683 
-0.1,	11.62124248496994 
-0.1,	11.637274549098198 
-0.1,	11.653306613226453 
-0.1,	11.669338677354709 
-0.1,	11.685370741482966 
-0.1,	11.701402805611222 
-0.1,	11.717434869739478 
-0.1,	11.733466933867735 
-0.1,	11.749498997995993 
-0.1,	11.765531062124248 
-0.1,	11.781563126252504 
-0.1,	11.797595190380761 
-0.1,	11.813627254509019 
-0.1,	11.829659318637274 
-0.1,	11.84569138276553 
-0.1,	11.861723446893787 
-0.1,	11.877755511022045 
-0.1,	11.8937875751503 
-0.1,	11.909819639278556 
-0.1,	11.925851703406813 
-0.1,	11.94188376753507 
-0.1,	11.957915831663327 
-0.1,	11.973947895791582 
-0.1,	11.98997995991984 
-0.1,	12.006012024048097 
-0.1,	12.022044088176353 
-0.1,	12.038076152304608 
-0.1,	12.054108216432866 
-0.1,	12.070140280561123 
-0.1,	12.086172344689379 
-0.1,	12.102204408817634 
-0.1,	12.118236472945892 
-0.1,	12.13426853707415 
-0.1,	12.150300601202405 
-0.1,	12.16633266533066 
-0.1,	12.182364729458918 
-0.1,	12.198396793587175 
-0.1,	12.214428857715431 
-0.1,	12.230460921843687 
-0.1,	12.246492985971944 
-0.1,	12.262525050100201 
-0.1,	12.278557114228457 
-0.1,	12.294589178356713 
-0.1,	12.31062124248497 
-0.1,	12.326653306613228 
-0.1,	12.342685370741483 
-0.1,	12.358717434869739 
-0.1,	12.374749498997996 
-0.1,	12.390781563126254 
-0.1,	12.40681362725451 
-0.1,	12.422845691382765 
-0.1,	12.438877755511022 
-0.1,	12.45490981963928 
-0.1,	12.470941883767535 
-0.1,	12.486973947895791 
-0.1,	12.503006012024048 
-0.1,	12.519038076152306 
-0.1,	12.535070140280562 
